zip,category,family,filename,pages,scanned_pages,images_first18,fig_caption,table_caption,section_count,摘要,问题重述,问题分析,模型假设,符号说明,数据处理,模型建立,模型求解,结果分析,检验评价,推广改进,参考文献,附录
1.zip,典型相关分析,统计评价,2012年数学建模A题一等奖论文葡萄酒的评价 .pdf,41,18,33,6,26,5,0.0493,0.0167,0.0581,0.0063,0.8696,0,0,0,0,0,0,0,0
1.zip,典型相关分析,统计评价,常州大学一等奖淡水养殖池塘水华发生及池水自净化研究 .pdf,37,18,1,13,29,4,0.4196,0,0,0,0.2168,0,0,0,0.186,0.1776,0,0,0
1.zip,决策树,机器学习,基于粗糙集改进的决策树手机精准营销模型.pdf,27,18,3,6,24,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0
1.zip,动态规划,优化决策,基于蒙特卡洛模拟的眼科病床安排排队模型 .pdf,20,18,8,23,14,3,0,0.0516,0.0475,0.9009,0,0,0,0,0,0,0,0,0
1.zip,动态规划,优化决策,山东科技大学特等奖小区车位分布的评价和优化模型.pdf,38,18,11,13,7,1,0,1.0,0,0,0,0,0,0,0,0,0,0,0
1.zip,博弈论,优化决策,2006 高教社杯全国大学生数学建模竞赛.pdf,47,18,3,0,13,7,0.0721,0.0316,0.1424,0.0118,0.7421,0,0,0,0,0,0,0,0
1.zip,博弈论,优化决策,“2048”游戏的数学基础及其取胜策略研究.pdf,23,18,10,9,14,5,0.083,0,0,0.0106,0.7254,0,0,0,0,0.0676,0,0.1134,0
1.zip,多元回归,预测回归,1010B题公司业务数据分析.pdf,25,18,37,5,5,7,0.0505,0.0354,0.034,0.0083,0.0201,0,0.3753,0.4764,0,0,0,0,0
1.zip,多元回归,预测回归,2004-电力市场的输电阻塞问题--历年数学建模优秀论文大全.pdf,13,13,2,6,10,3,0,0,0,0,0.938,0,0,0,0,0.0381,0,0.0239,0
1.zip,层次分析法,统计评价,2002年B题“彩票中的数学”问题的优化模型与评述.pdf,10,10,10,0,8,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0
1.zip,层次分析法,统计评价,2002年B题彩票方案的优选模型.pdf,7,7,7,1,16,3,0,0,0,0,0.3478,0,0,0.5094,0,0,0,0.1429,0
1.zip,插值,其他,CT系统标定与图像重建.PDF,47,18,16,0,0,4,0,0.0921,0.0657,0.0094,0.8328,0,0,0,0,0,0,0,0
1.zip,插值,其他,[2011年国赛高教杯奖A题]南京信息工程大学城市表层土壤重金属污染.pdf,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0
1.zip,方差分析,统计评价,1010c公司业务数据分析 .pdf,25,18,37,5,5,7,0.0505,0.0354,0.034,0.0083,0.0201,0,0.3753,0.4764,0,0,0,0,0
1.zip,方差分析,统计评价,1910高等教育学费标准探讨 .pdf,43,18,27,7,19,3,0.2546,0,0,0.0189,0.7265,0,0,0,0,0,0,0,0
1.zip,灰色关联分析,统计评价,[2017年国赛高教杯奖B题]华中科技大学-基于聚类分析的双目标优化定价模型.pdf,51,18,7,11,4,5,0.0931,0.0534,0.1016,0.0063,0.7456,0,0,0,0,0,0,0,0
1.zip,灰色关联分析,统计评价,常州大学一等奖淡水养殖池塘水华发生及池水自净化研究 .pdf,37,18,1,13,29,4,0.4196,0,0,0,0.2168,0,0,0,0.186,0.1776,0,0,0
1.zip,灰色预测,预测回归,09A2      制动机控制方法分析 .pdf,14,14,1,0,0,8,0.0796,0.0417,0.0338,0.0141,0.1104,0,0.686,0,0,0.0182,0,0.0163,0
1.zip,灰色预测,预测回归,2008一等奖关于高等教育学费标准的评价及建议 .PDF,28,18,12,21,0,5,0.3128,0,0,0.0062,0.0249,0,0.402,0.2541,0,0,0,0,0
1.zip,粒子群算法,优化决策,制动器试验台的计算机控制方法分析与设计 .pdf,18,18,74,21,5,4,0.2194,0,0,0.7647,0,0,0,0,0,0,0.0078,0.0081,0
1.zip,粒子群算法,优化决策,基于改进的神经网络和混沌时间序列预测控制高炉炼铁过程.pdf,44,18,94,47,5,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0
1.zip,聚类模型,统计评价,“拍照赚钱”的任务定价 第三篇.PDF,45,18,79,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.zip,聚类模型,统计评价,考虑时空效率的任务匹配定价模型与算法 .PDF,35,18,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.zip,图论Dijkstra模型,优化决策,[2016年国赛MATLAB创新奖B题]中国人民大学-小区开放道路通行影响.pdf,36,18,21,25,9,3,0,0,0.126,0.0107,0.8633,0,0,0,0,0,0,0,0
2.zip,图论Dijkstra模型,优化决策,公交查询系统的最佳乘车方案研究与设计 .pdf,41,18,11,4,13,3,0,0.0289,0.0297,0.9414,0,0,0,0,0,0,0,0,0
2.zip,图论floyd算法,优化决策,2011年全国大学生数学建模竞赛B题省级一等奖论文.pdf,14,14,7,11,15,4,0.1002,0.0958,0,0.7783,0,0,0,0,0,0,0,0.0257,0
2.zip,图论floyd算法,优化决策,[2011年国赛MATLAB创新奖B题]第三军医大学交巡警平台设置与调度模型.pdf,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0
2.zip,投影寻踪综合评价法,统计评价,华中农大特等奖淡水养殖池塘华发生及自净化研究.pdf,38,18,5,9,18,5,0.2395,0.059,0,0.01,0.0071,0,0.6844,0,0,0,0,0,0
2.zip,拟合模型,预测回归,2009河南科技大学 制动器试验台的控制方法分析 （郑晨，王文霞，李培飞_A.pdf,20,18,9,1,6,7,0.091,0.0958,0.6656,0.0105,0.0222,0,0,0,0,0,0,0.0245,0.0903
2.zip,拟合模型,预测回归,cumcm0849—关于高等教育学费评价的标准及建议.PDF,28,18,12,21,0,5,0.3128,0,0,0.0062,0.0249,0,0.402,0.2541,0,0,0,0,0
2.zip,排队论,优化决策,周晨阳周登岳孔垂烨A车道被占用对城市道路通行能力的影响 .pdf,44,18,5,9,0,5,0.0766,0.0567,0.0645,0.0097,0.7924,0,0,0,0,0,0,0,0
2.zip,排队论,优化决策,基于蒙特卡洛模拟的眼科病床安排排队模型.pdf,20,18,8,23,14,3,0,0.0516,0.0475,0.9009,0,0,0,0,0,0,0,0,0
