stage_order,stage_id,prompt_file,formal_prompt_file,sandbox_prompt_file,sha256,formal_sha256,sandbox_sha256,size_bytes,included_in_training
0,latex_template,prompts/training_sandbox/stages/00_latex_template.md,prompts/stages/00_latex_template.md,prompts/training_sandbox/stages/00_latex_template.md,bdc992921c04cdc2df208eb85def842c7b90b28e55569db50bd2db7c2c9c3211,06a35b18e20a72356c772bc6170aefdd98cdff15e10a56819f5eab81b94a9277,bdc992921c04cdc2df208eb85def842c7b90b28e55569db50bd2db7c2c9c3211,5810,yes
1,intake,prompts/training_sandbox/stages/01_intake.md,prompts/stages/01_intake.md,prompts/training_sandbox/stages/01_intake.md,267e4300de83b9602d82feb9e10f1e03ac5f2e253ac36c8b4d64ddf8977d6d60,78df0203506bec4f81568b70836a732c2c3453e31d8a057f3dec6d1aadf21625,267e4300de83b9602d82feb9e10f1e03ac5f2e253ac36c8b4d64ddf8977d6d60,5332,yes
2,eda,prompts/training_sandbox/stages/02_eda.md,prompts/stages/02_eda.md,prompts/training_sandbox/stages/02_eda.md,b2d89d9ee390704f50121f4b47481cde8dce726aad3678351b29a576725c39a1,3bf7b6fd212d88ce9126278624d8347daeb72b8fe951542cb11bfdd9c04ab46b,b2d89d9ee390704f50121f4b47481cde8dce726aad3678351b29a576725c39a1,5353,yes
3,task_analysis,prompts/training_sandbox/stages/03_task_analysis.md,prompts/stages/03_task_analysis.md,prompts/training_sandbox/stages/03_task_analysis.md,88a6dd3936bf4f8109b5f0fac317b9fac914edabf1412b53b4dd60a0692a3664,cf41bd81dfb83793c657e0b6489101db21ba0b0fe9444d54d51b10729de61470,88a6dd3936bf4f8109b5f0fac317b9fac914edabf1412b53b4dd60a0692a3664,5444,yes
4,prior_retrieval,prompts/training_sandbox/stages/04_prior_retrieval.md,prompts/stages/04_prior_retrieval.md,prompts/training_sandbox/stages/04_prior_retrieval.md,629486029c751648fc5bc173a8032e4a1b702dd418aea32be5858c37a898c9a9,c9077a83f519aa35d641919571b399edb59a2ffa75060f4e63048111cd622f04,629486029c751648fc5bc173a8032e4a1b702dd418aea32be5858c37a898c9a9,5710,yes
5,model_route,prompts/training_sandbox/stages/05_model_route.md,prompts/stages/05_model_route.md,prompts/training_sandbox/stages/05_model_route.md,d7390d0ac41855afa5912096a41e3fc9dd87c5af7af8a9dffb7542b1960d8a92,13f260975e269bfbfc2b9bf4f92f810c871e59b0366715a6fa25f1941b995f05,d7390d0ac41855afa5912096a41e3fc9dd87c5af7af8a9dffb7542b1960d8a92,6271,yes
6,codegen,prompts/training_sandbox/stages/06_codegen.md,prompts/stages/06_codegen.md,prompts/training_sandbox/stages/06_codegen.md,b68f9a1afd7568244943b0d037464c5b85bee21aefbc25f85ba22f8db2dad6c1,1bf2673e8a5156d08247482545d10f1e72d35e38e22661a6e2fc544de7d59665,b68f9a1afd7568244943b0d037464c5b85bee21aefbc25f85ba22f8db2dad6c1,5430,yes
7,results_freeze,prompts/training_sandbox/stages/07_results_freeze.md,prompts/stages/07_results_freeze.md,prompts/training_sandbox/stages/07_results_freeze.md,180cdafff9b1f13e40d42e31dc65d92eea368675f329809cb60c328101a4c192,fd2a6eea64e3853e9fd0524aeeaec70d032dc8c169ee45f12be04a480449b036,180cdafff9b1f13e40d42e31dc65d92eea368675f329809cb60c328101a4c192,5736,yes
8,figures,prompts/training_sandbox/stages/08_figures.md,prompts/stages/08_figures.md,prompts/training_sandbox/stages/08_figures.md,e4bf1a3f1518e7adb21f80778a6b08b819fa2da895cd3c0e49a407d401b691bf,8ddad1343ad83c8172896898c521d64d7793ec8444ba60da50bf11a6a3e08d16,e4bf1a3f1518e7adb21f80778a6b08b819fa2da895cd3c0e49a407d401b691bf,7483,yes
9,paper_draft,prompts/training_sandbox/stages/09_paper_draft.md,prompts/stages/09_paper_draft.md,prompts/training_sandbox/stages/09_paper_draft.md,440d6f401f80187b34585fa304416d964f3986612e3145a7da56805a36a9006a,500af45565d1ee3e762e3f432d1ab7c32c63431e34b038987706ce7b1383920a,440d6f401f80187b34585fa304416d964f3986612e3145a7da56805a36a9006a,6507,yes
10,paper_full,prompts/training_sandbox/stages/10_paper_full.md,prompts/stages/10_paper_full.md,prompts/training_sandbox/stages/10_paper_full.md,d3420694bdf0e800e611112b98503738ad034167c09e95904ad9c28e2ea98ec6,a679e276686cd0a708cabb9a1cae8d81e8981f33d29b7eacf6100831ae8aa952,d3420694bdf0e800e611112b98503738ad034167c09e95904ad9c28e2ea98ec6,5954,yes
11,auto_review,prompts/training_sandbox/stages/11_auto_review.md,prompts/stages/11_auto_review.md,prompts/training_sandbox/stages/11_auto_review.md,71edea0238a3bc0c6c3eacfa4017cd04b15d34d30b489cd386eca02950a2573b,9f793498355b5fb51ac554617ad5fabb9a76231047e5ec703a039ec69d26c269,71edea0238a3bc0c6c3eacfa4017cd04b15d34d30b489cd386eca02950a2573b,5533,yes
12,revision,prompts/training_sandbox/stages/12_revision.md,prompts/stages/12_revision.md,prompts/training_sandbox/stages/12_revision.md,5ecf618f08c100421e547420e21351532d05ea726ad43981c377e7726e3c2ff5,b033c9e10d3123ec43af81b28419edf4812fb1b2d52b4295c9ade5506404811b,5ecf618f08c100421e547420e21351532d05ea726ad43981c377e7726e3c2ff5,5461,yes
13,polish,prompts/training_sandbox/stages/13_polish.md,prompts/stages/13_polish.md,prompts/training_sandbox/stages/13_polish.md,fa6e9ce0b9ad49151a3f800108ccc94bb314e0f0f54edd50bb4751538c825045,30bce01834a3632cae8c8180d3b4f2931a0083cdfcdff9ce6ec57ce8dee01456,fa6e9ce0b9ad49151a3f800108ccc94bb314e0f0f54edd50bb4751538c825045,5738,yes
14,compile,prompts/training_sandbox/stages/14_compile.md,prompts/stages/14_compile.md,prompts/training_sandbox/stages/14_compile.md,dc84b833125169788177a3302d7433c9db2099ade6e6f6dfab4ed110dcee5e22,ab23e51e6022bc36ce94a1cc271de6eab262d7b1bfe903a43f07da7d17c28633,dc84b833125169788177a3302d7433c9db2099ade6e6f6dfab4ed110dcee5e22,5240,yes
15,final_export,prompts/training_sandbox/stages/15_final_export.md,prompts/stages/15_final_export.md,prompts/training_sandbox/stages/15_final_export.md,0594fb32e7c54d3a234225969d2c0b42b77e1ffc7c80510f57bb695a9530c918,023330c64506015e97c52ca2a205a5d66233e6d52c8811eb8698fdd75f3ec103,0594fb32e7c54d3a234225969d2c0b42b77e1ffc7c80510f57bb695a9530c918,5490,yes
