stage_order,stage_id,prompt_file,formal_prompt_file,sandbox_prompt_file,sha256,formal_sha256,sandbox_sha256,size_bytes,included_in_training
0,latex_template,prompts/training_sandbox/stages/00_latex_template.md,prompts/stages/00_latex_template.md,prompts/training_sandbox/stages/00_latex_template.md,1e3d13739df10916819ec65d6ec27242a31362805a67064f3fa837da27a8a8d3,06a35b18e20a72356c772bc6170aefdd98cdff15e10a56819f5eab81b94a9277,1e3d13739df10916819ec65d6ec27242a31362805a67064f3fa837da27a8a8d3,5952,yes
1,intake,prompts/training_sandbox/stages/01_intake.md,prompts/stages/01_intake.md,prompts/training_sandbox/stages/01_intake.md,6244327eedccfc78f876a99b07ad40524dfefa3e02d468aecfb3839850ec13c8,78df0203506bec4f81568b70836a732c2c3453e31d8a057f3dec6d1aadf21625,6244327eedccfc78f876a99b07ad40524dfefa3e02d468aecfb3839850ec13c8,5474,yes
2,eda,prompts/training_sandbox/stages/02_eda.md,prompts/stages/02_eda.md,prompts/training_sandbox/stages/02_eda.md,3d04dcfa37e02efd6d3582a61e95a25a84708c4e46c18f9e9d1b999608132009,3bf7b6fd212d88ce9126278624d8347daeb72b8fe951542cb11bfdd9c04ab46b,3d04dcfa37e02efd6d3582a61e95a25a84708c4e46c18f9e9d1b999608132009,5495,yes
3,task_analysis,prompts/training_sandbox/stages/03_task_analysis.md,prompts/stages/03_task_analysis.md,prompts/training_sandbox/stages/03_task_analysis.md,84fa96de932756c66c78a86c37a888c4f54a623641cf794d604f4beab0403973,cf41bd81dfb83793c657e0b6489101db21ba0b0fe9444d54d51b10729de61470,84fa96de932756c66c78a86c37a888c4f54a623641cf794d604f4beab0403973,5586,yes
4,prior_retrieval,prompts/training_sandbox/stages/04_prior_retrieval.md,prompts/stages/04_prior_retrieval.md,prompts/training_sandbox/stages/04_prior_retrieval.md,0404e3076a3cc69cf42de9e96747b97f715098dbe513538450566b729297c22e,c9077a83f519aa35d641919571b399edb59a2ffa75060f4e63048111cd622f04,0404e3076a3cc69cf42de9e96747b97f715098dbe513538450566b729297c22e,5852,yes
5,model_route,prompts/training_sandbox/stages/05_model_route.md,prompts/stages/05_model_route.md,prompts/training_sandbox/stages/05_model_route.md,ec88f85c543cb0831f42a0a87bd99a159dccaf75d7c8b9fb0f4e84bfd8e79853,13f260975e269bfbfc2b9bf4f92f810c871e59b0366715a6fa25f1941b995f05,ec88f85c543cb0831f42a0a87bd99a159dccaf75d7c8b9fb0f4e84bfd8e79853,6413,yes
6,codegen,prompts/training_sandbox/stages/06_codegen.md,prompts/stages/06_codegen.md,prompts/training_sandbox/stages/06_codegen.md,f806eadb9fc7ff69fa40ab5226ad7529f00cfd23ef6ce0f1122159589f0002a2,1bf2673e8a5156d08247482545d10f1e72d35e38e22661a6e2fc544de7d59665,f806eadb9fc7ff69fa40ab5226ad7529f00cfd23ef6ce0f1122159589f0002a2,5572,yes
7,results_freeze,prompts/training_sandbox/stages/07_results_freeze.md,prompts/stages/07_results_freeze.md,prompts/training_sandbox/stages/07_results_freeze.md,cd010e1366d4bbf8636efd2c07ca9e5068092df2877e1de5c66acd60ecf225a7,fd2a6eea64e3853e9fd0524aeeaec70d032dc8c169ee45f12be04a480449b036,cd010e1366d4bbf8636efd2c07ca9e5068092df2877e1de5c66acd60ecf225a7,5878,yes
8,figures,prompts/training_sandbox/stages/08_figures.md,prompts/stages/08_figures.md,prompts/training_sandbox/stages/08_figures.md,378e0bbe67b0c9b001865bdb8084a56fd2d900c7a6c9f93b1e760d69a5f23542,8ddad1343ad83c8172896898c521d64d7793ec8444ba60da50bf11a6a3e08d16,378e0bbe67b0c9b001865bdb8084a56fd2d900c7a6c9f93b1e760d69a5f23542,7625,yes
9,paper_draft,prompts/training_sandbox/stages/09_paper_draft.md,prompts/stages/09_paper_draft.md,prompts/training_sandbox/stages/09_paper_draft.md,3a2fccda4d988be44ca15f39231a0bbf02aa19468042f42f6e26dd87c748bdd2,500af45565d1ee3e762e3f432d1ab7c32c63431e34b038987706ce7b1383920a,3a2fccda4d988be44ca15f39231a0bbf02aa19468042f42f6e26dd87c748bdd2,6649,yes
10,paper_full,prompts/training_sandbox/stages/10_paper_full.md,prompts/stages/10_paper_full.md,prompts/training_sandbox/stages/10_paper_full.md,9ab59f7aa0ae2f95efbe0486f8941ee154ffc26ce889154a1d67408a81803692,a679e276686cd0a708cabb9a1cae8d81e8981f33d29b7eacf6100831ae8aa952,9ab59f7aa0ae2f95efbe0486f8941ee154ffc26ce889154a1d67408a81803692,6096,yes
11,auto_review,prompts/training_sandbox/stages/11_auto_review.md,prompts/stages/11_auto_review.md,prompts/training_sandbox/stages/11_auto_review.md,9dce8f496385914b3c1c0cae749eb814c41dac91635a7bd434a41cc71e9817d8,9f793498355b5fb51ac554617ad5fabb9a76231047e5ec703a039ec69d26c269,9dce8f496385914b3c1c0cae749eb814c41dac91635a7bd434a41cc71e9817d8,5675,yes
12,revision,prompts/training_sandbox/stages/12_revision.md,prompts/stages/12_revision.md,prompts/training_sandbox/stages/12_revision.md,f43519f77e77731742a0748c8cd9bc0c20c534ac11534c8e90cab890f54e69d5,b033c9e10d3123ec43af81b28419edf4812fb1b2d52b4295c9ade5506404811b,f43519f77e77731742a0748c8cd9bc0c20c534ac11534c8e90cab890f54e69d5,5603,yes
13,polish,prompts/training_sandbox/stages/13_polish.md,prompts/stages/13_polish.md,prompts/training_sandbox/stages/13_polish.md,d06c942b603bd9217a409e55567bcb1a1d3cb855be651c8c4709998f2fff9efa,30bce01834a3632cae8c8180d3b4f2931a0083cdfcdff9ce6ec57ce8dee01456,d06c942b603bd9217a409e55567bcb1a1d3cb855be651c8c4709998f2fff9efa,5880,yes
14,compile,prompts/training_sandbox/stages/14_compile.md,prompts/stages/14_compile.md,prompts/training_sandbox/stages/14_compile.md,dfabff4b626a12928ddea1b254f5524b48d276c7961977a7ee0efa43bc76233a,ab23e51e6022bc36ce94a1cc271de6eab262d7b1bfe903a43f07da7d17c28633,dfabff4b626a12928ddea1b254f5524b48d276c7961977a7ee0efa43bc76233a,5382,yes
15,final_export,prompts/training_sandbox/stages/15_final_export.md,prompts/stages/15_final_export.md,prompts/training_sandbox/stages/15_final_export.md,86b77712c65a2a3459861d3c5fd179e38e6886f1f404b74403481cb21a585261,023330c64506015e97c52ca2a205a5d66233e6d52c8811eb8698fdd75f3ec103,86b77712c65a2a3459861d3c5fd179e38e6886f1f404b74403481cb21a585261,5632,yes
