run_id,created_at,mode,status,workspace,manifest,report,notes
FORMAL-20260525_160324,2026-05-25T16:03:25,formal_assist,dry_run,.,16_learning/agent_runs/FORMAL-20260525_160324/run_manifest.yaml,16_learning/agent_runs/FORMAL-20260525_160324/reports/formal_assist_report.md,
TRAIN-20260525_160334,2026-05-25T16:03:35,training_sandbox,dry_run,16_learning/agent_runs/TRAIN-20260525_160334/workspace,16_learning/agent_runs/TRAIN-20260525_160334/run_manifest.yaml,16_learning/agent_runs/TRAIN-20260525_160334/reports/full_gap_report.md,
TRAIN-20260525_161128,2026-05-25T16:11:35,training_sandbox,dry_run,16_learning/agent_runs/TRAIN-20260525_161128/workspace,16_learning/agent_runs/TRAIN-20260525_161128/run_manifest.yaml,16_learning/agent_runs/TRAIN-20260525_161128/reports/full_gap_report.md,
FORMAL-20260525_170504,2026-05-25T17:05:04,formal_assist,dry_run,.,16_learning/agent_runs/FORMAL-20260525_170504/run_manifest.yaml,16_learning/agent_runs/FORMAL-20260525_170504/reports/formal_assist_report.md,
TRAIN-20260525_170517,2026-05-25T17:05:24,training_sandbox,dry_run,16_learning/agent_runs/TRAIN-20260525_170517/workspace,16_learning/agent_runs/TRAIN-20260525_170517/run_manifest.yaml,16_learning/agent_runs/TRAIN-20260525_170517/reports/full_gap_report.md,
TRAIN-20260525_170727,2026-05-25T17:07:34,training_sandbox,dry_run,16_learning/agent_runs/TRAIN-20260525_170727/workspace,16_learning/agent_runs/TRAIN-20260525_170727/run_manifest.yaml,16_learning/agent_runs/TRAIN-20260525_170727/reports/full_gap_report.md,
FORMAL-20260525_170809,2026-05-25T17:08:09,formal_assist,dry_run,.,16_learning/agent_runs/FORMAL-20260525_170809/run_manifest.yaml,16_learning/agent_runs/FORMAL-20260525_170809/reports/formal_assist_report.md,
TRAIN-20260528_150421,2026-05-28T15:04:22,training_sandbox,agent_failed,16_learning/agent_runs/TRAIN-20260528_150421/workspace,16_learning/agent_runs/TRAIN-20260528_150421/run_manifest.yaml,16_learning/agent_runs/TRAIN-20260528_150421/reports/full_gap_report.md,agent command failed
TRAIN-20260528_150645,2026-05-28T15:06:46,training_sandbox,agent_failed,16_learning/agent_runs/TRAIN-20260528_150645/workspace,16_learning/agent_runs/TRAIN-20260528_150645/run_manifest.yaml,16_learning/agent_runs/TRAIN-20260528_150645/reports/full_gap_report.md,agent command failed
TRAIN-20260528_150756,2026-05-28T15:08:02,training_sandbox,completed,16_learning/agent_runs/TRAIN-20260528_150756/workspace,16_learning/agent_runs/TRAIN-20260528_150756/run_manifest.yaml,16_learning/agent_runs/TRAIN-20260528_150756/reports/full_gap_report.md,
