source_id,category,family,char_count,line_count,figure_mentions,table_mentions,formula_mentions,extract_status
SRCf7c373129dab,典型相关分析,统计评价,67362,3782,8,36,1,ok
SRCdeee53f036c9,典型相关分析,统计评价,43695,2065,26,40,5,ok
SRC69777a615e69,决策树,机器学习,31066,1254,7,31,3,ok
SRC525de42b447b,动态规划,优化决策,17238,899,23,16,5,ok
SRCfc084277c98e,动态规划,优化决策,30927,1153,23,16,16,ok
SRC46fb54269d01,动态规划,优化决策,17369,1137,12,6,1,ok
SRCd40ee0603b58,动态规划,优化决策,9464,1105,0,0,0,ok
SRC63738ee39673,博弈论,优化决策,58123,2871,0,19,1,ok
SRC64157a4dc534,博弈论,优化决策,17425,1127,9,14,0,ok
SRCbf9caf9ae67a,博弈论,优化决策,14836,724,21,8,9,ok
SRC41ea154ebb3b,博弈论,优化决策,52593,2626,77,9,1,ok
SRCad03b2fb65cc,多元回归,预测回归,17382,1218,0,5,4,ok
SRCfb178d4139ba,多元回归,预测回归,5361,547,0,0,0,ok
SRC4225edb1178d,多元回归,预测回归,67466,3798,8,36,1,ok
SRCfee94cf67650,多元回归,预测回归,26541,1417,27,64,1,ok
SRC2a29d0553cce,多元回归,预测回归,19185,430,0,20,0,ok
SRC97b208578c7b,多元回归,预测回归,52822,5276,78,10,1,ok
SRCa7373b77ba3c,多元回归,预测回归,13887,894,24,8,9,ok
SRC6478c9c7b9a3,多元回归,预测回归,28390,1067,18,21,3,ok
SRCe7b37d67ac77,多元回归,预测回归,41393,2015,18,0,11,ok
SRC84a38779a00f,多元回归,预测回归,45419,2298,22,7,7,ok
SRCfd5d8da87715,多元回归,预测回归,8056,919,0,0,0,ok
SRC81699c58ee78,多元回归,预测回归,19887,900,32,13,2,ok
SRCc293cc19815a,多元回归,预测回归,28381,444,0,12,0,ok
SRC7677f5d0763d,多元回归,预测回归,28154,1518,25,64,1,ok
SRC85004e9f1d88,多元回归,预测回归,19506,956,59,61,1,ok
SRCd5a368246b70,多元回归,预测回归,36991,1866,14,13,3,ok
SRC9851955ff968,层次分析法,统计评价,21328,449,0,8,0,ok
SRC8dceb899880d,层次分析法,统计评价,11871,280,1,16,0,ok
SRC3970e58825a2,层次分析法,统计评价,11954,275,9,1,0,ok
SRC1f1a6ffaddb0,层次分析法,统计评价,26332,1273,24,0,4,ok
SRCc12b92550a71,层次分析法,统计评价,17238,899,23,16,5,ok
SRC0b809e6b6a2f,层次分析法,统计评价,21626,1269,5,4,2,ok
SRC19ab4e9b831a,层次分析法,统计评价,67466,3798,8,36,1,ok
SRC8f5de712f8ba,层次分析法,统计评价,24264,871,7,32,3,ok
SRC2c82aabaab10,层次分析法,统计评价,26310,1187,30,10,10,ok
SRC6e0836d82053,层次分析法,统计评价,26541,1417,27,64,1,ok
SRCb3df3d72f16d,层次分析法,统计评价,27669,1292,13,27,17,ok
SRCedf4fa7301d9,层次分析法,统计评价,44831,2236,14,33,6,ok
SRC2f290c465863,层次分析法,统计评价,11767,362,7,4,0,ok
SRC453e4bbda4c8,层次分析法,统计评价,14120,426,4,9,0,ok
SRC5232d3cb1c84,层次分析法,统计评价,26189,418,6,0,0,ok
SRC379734cbda2f,层次分析法,统计评价,21017,543,5,0,3,ok
SRCb9e19d545367,层次分析法,统计评价,21304,448,0,8,0,ok
SRCd22d9daeb063,层次分析法,统计评价,21214,414,0,0,0,ok
SRC41e142800a77,层次分析法,统计评价,36852,9649,7,72,12,ok
SRCc3fe1833b14f,层次分析法,统计评价,47088,3698,0,16,8,ok
SRC9f0aac256d06,层次分析法,统计评价,10946,294,8,0,0,ok
SRC906d96fcf0e4,层次分析法,统计评价,22871,1507,12,21,3,ok
SRCa0eeaebe4664,层次分析法,统计评价,6962,157,0,0,1,ok
SRC21ad55ad8687,层次分析法,统计评价,13483,299,0,0,0,ok
SRC5b537e51e17f,层次分析法,统计评价,11847,279,1,16,0,ok
SRC162604478f28,层次分析法,统计评价,11930,274,9,1,0,ok
SRC0b373a972634,层次分析法,统计评价,19107,380,0,0,0,ok
SRC0ea52ac928bb,层次分析法,统计评价,25970,2383,9,1,3,ok
SRC987e6137c702,层次分析法,统计评价,9464,1105,0,0,0,ok
SRC035d612214a3,层次分析法,统计评价,19687,761,32,19,1,ok
SRC3c040ef98e29,层次分析法,统计评价,9058,183,0,16,0,ok
SRC13f196d7ec41,插值,其他,11751,2594,0,0,1,ok
SRC15829b0fa2cd,插值,其他,35073,1444,27,0,5,ok
SRC15a37e326714,插值,其他,38685,1630,20,19,7,ok
SRC4cfbb9a02771,插值,其他,6962,157,0,0,1,ok
SRCa1b4f8e5922f,插值,其他,43695,2065,26,40,5,ok
SRCccc7b3a8f84b,插值,其他,19599,1437,59,6,0,ok
SRCe5c121a0e895,插值,其他,11201,200,0,9,0,ok
SRC4951d7c947b5,方差分析,统计评价,17382,1218,0,5,4,ok
SRC747a9e832873,方差分析,统计评价,39957,1851,9,21,1,ok
SRCf2660859e261,方差分析,统计评价,67466,3798,8,36,1,ok
SRC3d60d87c30ce,方差分析,统计评价,24140,1302,48,0,9,ok
SRCf40346b52b72,方差分析,统计评价,30404,1604,30,40,3,ok
SRCe85c79f504e9,方差分析,统计评价,31066,1254,7,31,3,ok
SRCfbdcb4f06d60,方差分析,统计评价,8056,919,0,0,0,ok
SRC0363d8c56fc2,方差分析,统计评价,9202,270,1,7,0,ok
SRC43a133f64a79,灰色关联分析,统计评价,44865,2047,22,7,7,ok
SRC52ea2e50a6e3,灰色关联分析,统计评价,43695,2065,26,40,5,ok
SRC81b3b18a6dd9,灰色关联分析,统计评价,20832,1277,20,4,7,ok
SRC279e4d62f104,灰色关联分析,统计评价,66557,2548,28,21,0,ok
SRCe645d19a7c95,灰色预测,预测回归,13030,759,0,0,3,ok
SRC4d73f35cbbcf,灰色预测,预测回归,26332,1273,24,0,4,ok
SRC962ea4a266ab,灰色预测,预测回归,42994,2581,1,20,1,ok
SRC38a9e933d7e6,灰色预测,预测回归,24140,1302,48,0,9,ok
SRC3b4d8238cb58,灰色预测,预测回归,30107,1462,26,31,4,ok
SRC18a7291f6b27,灰色预测,预测回归,43695,2065,26,40,5,ok
SRC711a0ccf21ef,灰色预测,预测回归,41121,4750,7,20,3,ok
SRCcb0e3acace55,灰色预测,预测回归,40837,2040,28,41,5,ok
SRCc87053f45b76,灰色预测,预测回归,11451,225,0,4,0,ok
SRC59736ba2a00f,灰色预测,预测回归,28381,444,0,12,0,ok
SRC51fc21196706,粒子群算法,优化决策,14255,730,21,5,1,ok
SRCee97a0ce0fe3,粒子群算法,优化决策,58043,1615,73,30,14,ok
SRC9be5d4a37021,聚类模型,统计评价,52822,5276,78,10,1,ok
SRC1959e617930e,聚类模型,统计评价,37416,1951,25,2,1,ok
SRC0862c820e4cb,聚类模型,统计评价,47449,5946,49,7,2,ok
SRC3276732ff063,聚类模型,统计评价,44865,2047,22,7,7,ok
SRC9a5336964759,聚类模型,统计评价,27669,1292,13,27,17,ok
SRC9bd3578e9096,聚类模型,统计评价,12508,489,7,30,2,ok
